"Date","Revenue"
"2023-03-01","5353.7125748502995"
"2023-04-01","7161.821428571428"
"2023-05-01","8046.042168674699"
"2023-06-01","7292.425149700599"
"2023-07-01","5467.256097560976"
"2023-08-01","4816.032258064516"
"2023-09-01","7128.137724550898"
"2023-10-01","7334.089285714285"
"2023-11-01","4485.345911949686"
"2023-12-01","3522.5373134328356"
"2024-01-01","2448.6168224299067"
"2024-02-01","2901.4836065573772"
"2024-03-01","6762.085714285714"
"2024-04-01","7630.463276836158"
"2024-05-01","9223.238888888889"
"2024-06-01","8862.102857142858"
"2024-07-01","6442.099415204679"
"2024-08-01","5557.712643678161"
"2024-09-01","7466.585635359116"
"2024-10-01","8461.723756906078"
"2024-11-01","5214.727272727273"
"2024-12-01","3375.267973856209"
"2025-01-01","2647.5692307692307"
"2025-02-01","3158.4765100671143"
"2025-03-01","6744.794285714286"
"2025-04-01","8855.898876404495"
"2025-05-01","9340.510638297872"
"2025-06-01","7635.048913043478"
"2025-07-01","5340.614525139665"
"2025-08-01","5139.227722772277"
"2025-09-01","6962.886597938144"
"2025-10-01","7579.634703196347"
"2025-11-01","4489.8110599078345"
"2025-12-01","3013.670157068063"
"2026-01-01","2270.932926829268"
"2026-02-01","2627.868131868132"
