"Date","Revenue"
"2023-07-01","4327.840425531915"
"2023-08-01","3804.8842105263157"
"2023-09-01","3682.159574468085"
"2023-10-01","3101.375"
"2023-11-01","1756.025974025974"
"2023-12-01","2612.8125"
"2024-01-01","1869.2058823529412"
"2024-02-01","1881.6451612903227"
"2024-03-01","2210.8840579710145"
"2024-04-01","1651.6538461538462"
"2024-05-01","2747.4795918367345"
"2024-06-01","3357.7155172413795"
"2024-07-01","3778.6507936507937"
"2024-08-01","3725.904"
"2024-09-01","3371.8818897637793"
"2024-10-01","2879.366666666667"
"2024-11-01","1993.4044943820224"
"2024-12-01","2558.48"
"2025-01-01","2256.2608695652175"
"2025-02-01","1924.1797752808989"
"2025-03-01","2291.81914893617"
"2025-04-01","1858.3561643835617"
"2025-05-01","2735.063063063063"
"2025-06-01","3456.5689655172414"
"2025-07-01","4094.638655462185"
"2025-08-01","3801.9416666666666"
"2025-09-01","3570.7522935779816"
"2025-10-01","2707.7413793103447"
"2025-11-01","1638.1630434782608"
"2025-12-01","2352.68"
"2026-01-01","1823.4742268041236"
"2026-02-01","1720.525"
"2026-03-01","2126.430107526882"
"2026-04-01","1786.4125"
"2026-05-01","2511.25"
"2026-06-01","3190.6721311475408"
